,Country,Overseas Base
0,Australia,Malaysia
1,Australia,United Arab Emirates
2,China,Afghanistan
3,China,Cambodia
4,China,Djibouti
5,China,Tajikistan
6,France,Chad
7,France,Djibouti
8,France,Gabon
9,France,Germany
10,France,Ivory Coast
11,France,Lebanon
12,France,Niger
13,France,Senegal
14,France,Syria
15,France,United Arab Emirates
16,Germany,France
17,Germany,United States
18,Germany,Canada
19,Greece,Cyprus
20,India,Bhutan
21,India,Maldives
22,India,Madagascar
23,India,Mauritius
24,India,Nepal
25,India,Seychelles
26,India,Tajikistan
27,Iran,Syria
28,Iran,Eritrea
29,Iran,Iraq
30,Iran,Lebanon
31,Israel,Eritrea
32,Italy,United Arab Emirates
33,Italy,Djibouti
34,Italy,Afghanistan
35,Italy,Kuwait
36,Italy,Libya
37,Italy,United States
38,Japan,Djibouti
39,Pakistan,Saudi Arabia
40,Russia,Armenia
41,Russia,Belarus
42,Russia,Georgia
43,Russia,Kazakhstan
44,Russia,Kyrgyzstan
45,Russia,Moldova
46,Russia,Syria
47,Russia,Tajikistan
48,Russia,Ukraine
49,Singapore,Australia
50,Singapore,France
51,Singapore,New Zealand
52,Singapore,United States
53,Turkey,Azerbaijan
54,Turkey,Northern Cyprus
55,Turkey,Iraq
56,Turkey,Qatar
57,Turkey,Somalia
58,Turkey,Syria
59,United Arab Emirates,Eritrea
60,United Arab Emirates,Libya
61,United Arab Emirates,Somaliland
62,United Arab Emirates,Yemen
63,United Kingdom,Bahrain
64,United Kingdom,Belize
65,United Kingdom,Brunei
66,United Kingdom,Canada
67,United Kingdom,Republic of Cyprus
68,United Kingdom,Germany
69,United Kingdom,Kenya
70,United Kingdom,Nepal
71,United Kingdom,Norway
72,United Kingdom,Singapore
73,United Kingdom,Qatar
74,United Kingdom,Oman
75,United Kingdom,United Arab Emirates
76,United Kingdom,United States
77,United States,Afghanistan
78,United States,Australia
79,United States,Bahrain
80,United States,Belgium
81,United States,Brazil
82,United States,British Indian Ocean Territory
83,United States,Bulgaria
84,United States,Cuba
85,United States,Cameroon
86,United States,Curaçao
87,United States,Djibouti
88,United States,Germany
89,United States,Greece
90,United States,Greenland
91,United States,Honduras
92,United States,Iceland
93,United States,Iraq
94,United States,Israel
95,United States,Italy
96,United States,Japan
97,United States,Kosovo
98,United States,Kuwait
99,United States,Netherlands
100,United States,Niger
101,United States,Norway
102,United States,Oman
103,United States,Philippines
104,United States,Portugal
105,United States,Qatar
106,United States,Saudi Arabia
107,United States,Singapore
108,United States,South Korea
109,United States,Spain
110,United States,Syria
111,United States,Tunisia
112,United States,Turkey
113,United States,United Arab Emirates
114,United States,United Kingdom
