Wine Consumption,2015,2016,Wine,% CHANGE 2017/2015,% OF WORLD CONSUMPTION
UNITED STATES,"3,622,000","3,711,000","3,792,000",4.69%,15.00%
FRANCE,"2,720,000","2,710,000","2,700,000",-0.74%,10.68%
ITALY,"2,140,000","2,240,000","2,260,000",5.61%,8.86%
GERMANY,"1,960,000","2,010,000","2,020,000",3.06%,7.95%
CHINA,"1,730,000","1,750,000","1,790,000",3.47%,7.08%
UNITED KINGDOM,"1,270,000","1,290,000","1,290,000",1.57%,5.10%
SPAIN,"1,000,000","1,030,000","1,030,000",3.00%,4.07%
ARGENTINA,"1,030,000","940,000","890,000",-13.59%,3.52%
RUSSIA,"930,000","910,000","890,000",-4.30%,3.60%
AUSTRALIA,"530,000","550,000","580,000",9.43%,2.29%
CANADA,"490,000","506,000","490,000",0.00%,1.94%
PORTUGAL,"480,000","460,000","450,000",-6.25%,1.78%
SOUTH AFRICA,"430,000","420,000","450,000",4.65%,1.78%
ROMANIA,"400,000","390,000","410,000",2.50%,1.62%
JAPAN,"351,000","351,000","351,000",0.00%,1.39%
NETHERLANDS,"319,000","316,000","338,000",5.96%,1.34%
BELGIUM,"300,000","300,000","300,000",0.00%,1.19%
BRAZIL,"320,000","310,000","290,000",-9.38%,1.15%
SWITZERLAND,"290,000","290,000","280,000",-3.45%,1.11%
AUSTRIA,"240,000","240,000","250,000",4.17%,0.95%
GREECE,"240,000","230,000","240,000",0.00%,0.91%
SWEDEN,"240,000","230,000","240,000",0.00%,0.95%
CHILE,"260,000","220,000","230,000",-11.54%,0.87%
SERBIA,"240,000","280,000","220,000",-8.33%,0.87%
CZECH REPUBLIC,"190,000","190,000","190,000",0.00%,0.75%
HUNGARY,"220,000","230,000","190,000",-13.64%,0.75%
UKRAINE,"200,000","185,000","165,000",-17.50%,0.65%
DENMARK,"160,000","160,000","150,000",-6.25%,0.59%
UZBEKISTAN,"107,200","110,000","112,000",4.48%,0.44%
POLAND,"100,000","110,000","110,000",10.00%,0.44%
URUGUAY,"97,000","95,000","97,000",0.00%,0.38%
ALBANIA,"90,000","100,000","96,000",6.67%,0.38%
NEW ZEALAND,"91,000","94,000","96,000",5.49%,0.37%
NORWAY,"91,100","94,201","92,577",1.62%,0.37%
MEXICO,"75,000","81,000","85,000",13.33%,0.32%
MACEDONIA,"86,000","87,000","84,000",-2.33%,0.34%
BULGARIA,"99,900","89,900","83,700",-16.22%,0.36%
GEORGIA,"78,000","80,000","78,000",0.00%,0.32%
PERU,"74,000","78,000","78,000",5.41%,0.31%
TUNISIA,"83,000","80,000","75,000",-9.64%,0.32%
CROATIA,"122,800","98,800","73,600",-40.07%,0.39%
ANGOLA,"87,322","52,445","70,263",-19.54%,0.28%
SLOVENIA,"95,800","82,500","69,000",-27.97%,0.33%
BELARUS,"67,000","70,000","68,000",1.49%,0.28%
SLOVAKIA,"95,400","74,000","67,900",-28.83%,0.29%
THAILAND,"64,000","66,000","67,000",4.69%,0.26%
FINLAND,"61,500","61,000","61,000",-0.81%,0.24%
NAMIBIA,"48,262","52,469","57,468",19.07%,0.23%
ALGERIA,"53,000","53,000","53,000",0.00%,0.21%
TAIWAN,"53,000","54,000","52,000",-1.89%,0.21%
ISRAEL,"47,000","47,000","50,000",6.38%,0.19%
BOSNIA/HERZEGOVINA,"52,000","52,000","49,000",-5.77%,0.21%
KAZAKHSTAN,40000,"44,000","46,000",15%,0.17%
HONG KONG,"43,415","44,210","44,497",2.49%,0.17%
IVORY COAST,"40,185","40,938","43,528",8.32%,0.17%
MOLDOVA,"45,000","45,000","41,000",-8.89%,0.18%
MOROCCO,"40,000","40,000","40,000",0.00%,0.16%
SOUTH KOREA,"38,000","38,000","37,000",-2.63%,0.15%
PHILIPPINES,"30,000","34,000","35,000",16.67%,0.13%
PARAGUAY,"19,730","29,463","30,067",52.40%,0.12%
LEBANON,"21,537","24,987","28,119",30.56%,0.11%
IRELAND,"31,800","14,500","26,400",-16.98%,0.10%
UNITED ARAB EMIRATES,"24,301","24,067","25,352",4.32%,0.10%
NIGERIA,"32,767","19,097","24,473",-25.31%,0.10%
MONTENEGRO,"23,000","23,000","24,000",4.35%,0.90%
TURKMENISTAN,"18,000","20,000","24,000",33.33%,0.80%
